curator_id,review_num
31446707,10
28892682,10
26932727,10
24531381,12
29330553,12
30407602,11
4604602,9
25028285,10
28839733,19
28271142,10
26001500,10
25196143,10
28436514,8
21200299,14
8461277,10
7004163,13
31150531,10
12030792,9
27010798,10
26850299,15
24705873,11
26869422,10
7450723,14
12162189,10
8002132,21
6191420,12
11744017,16
6004335,9
12171682,11
31445519,11
30447014,10
8019202,12
26494076,10
28651398,10
8919082,10
12098859,10
6853096,13
27757218,9
22254277,10
11113109,10
28543447,12
31593210,10
7034930,9
7364668,10
25295175,9
25969451,10
26988020,10
8411902,10
11855704,15
4126816,9
11802060,10
